Timestamp, Offset, Jitter, Last Offset, RMS Offset, Root Delay, Root Dispersion, Sources Last Offset, Sources RMS, Sources Error
2024-05-13 15:58:30, +0ns, 502ns, +0.000000001, 0.000584044, 0.000000001, 0.000008173, -9ns[, -10ns], 406ns
2024-05-13 15:58:30, +0ns, 502ns, +0.000000001, 0.000584044, 0.000000001, 0.000009564, -9ns[, -10ns], 406ns
2024-05-13 15:58:30, +0ns, 502ns, +0.000000001, 0.000584044, 0.000000001, 0.000010974, -9ns[, -10ns], 406ns
2024-05-13 15:58:30, +1ns, 502ns, +0.000000001, 0.000584044, 0.000000001, 0.000012356, -9ns[, -10ns], 406ns
2024-05-13 15:58:30, +0ns, 480ns, -0.000000003, 0.000554073, 0.000000001, 0.000005955, -9ns[, -12ns], 412ns
2024-05-13 15:58:30, +0ns, 480ns, -0.000000003, 0.000554073, 0.000000001, 0.000007341, -9ns[, -12ns], 412ns
2024-05-13 15:58:30, +0ns, 480ns, -0.000000003, 0.000554073, 0.000000001, 0.000008734, -9ns[, -12ns], 412ns
2024-05-13 15:58:30, +0ns, 480ns, -0.000000003, 0.000554073, 0.000000001, 0.000010146, -9ns[, -12ns], 412ns
2024-05-13 15:58:30, +0ns, 480ns, -0.000000003, 0.000554073, 0.000000001, 0.000011625, -9ns[, -12ns], 412ns
2024-05-13 15:58:30, +0ns, 480ns, -0.000000003, 0.000554073, 0.000000001, 0.000013035, -9ns[, -12ns], 412ns
2024-05-13 15:58:30, +0ns, 468ns, +0.000000090, 0.000525640, 0.000000001, 0.000006418, +261ns[, +347ns], 401ns
2024-05-13 15:58:30, +0ns, 468ns, +0.000000090, 0.000525640, 0.000000001, 0.000007754, +261ns[, +347ns], 401ns
2024-05-13 15:58:30, +1ns, 468ns, +0.000000090, 0.000525640, 0.000000001, 0.000009137, +261ns[, +347ns], 401ns
2024-05-13 15:58:30, +1ns, 468ns, +0.000000090, 0.000525640, 0.000000001, 0.000010549, +261ns[, +347ns], 401ns
2024-05-13 15:58:30, +1ns, 468ns, +0.000000090, 0.000525640, 0.000000001, 0.000011903, +261ns[, +347ns], 401ns
2024-05-13 15:58:30, +2ns, 468ns, +0.000000090, 0.000525640, 0.000000001, 0.000013281, +261ns[, +347ns], 396ns
2024-05-13 15:58:30, -0ns, 459ns, -0.000000091, 0.000498666, 0.000000001, 0.000006765, -289ns[, -377ns], 396ns
2024-05-13 15:58:30, -0ns, 459ns, -0.000000091, 0.000498666, 0.000000001, 0.000008150, -289ns[, -377ns], 396ns
2024-05-13 15:58:30, -1ns, 459ns, -0.000000091, 0.000498666, 0.000000001, 0.000009535, -289ns[, -377ns], 396ns
2024-05-13 15:58:30, -1ns, 459ns, -0.000000091, 0.000498666, 0.000000001, 0.000010929, -289ns[, -377ns], 396ns
2024-05-13 15:58:30, -1ns, 459ns, -0.000000091, 0.000498666, 0.000000001, 0.000012301, -289ns[, -377ns], 396ns
2024-05-13 15:58:30, -0ns, 486ns, -0.000000206, 0.000473076, 0.000000001, 0.000004084, -672ns[, -871ns], 385ns
2024-05-13 15:58:30, -1ns, 486ns, -0.000000206, 0.000473076, 0.000000001, 0.000005461, -672ns[, -871ns], 385ns
2024-05-13 15:58:30, -1ns, 486ns, -0.000000206, 0.000473076, 0.000000001, 0.000006789, -672ns[, -871ns], 385ns
2024-05-13 15:58:30, -2ns, 486ns, -0.000000206, 0.000473076, 0.000000001, 0.000008174, -672ns[, -871ns], 385ns
2024-05-13 15:58:30, -3ns, 486ns, -0.000000206, 0.000473076, 0.000000001, 0.000009524, -672ns[, -871ns], 385ns
2024-05-13 15:58:30, -4ns, 486ns, -0.000000206, 0.000473076, 0.000000001, 0.000010873, -672ns[, -871ns], 385ns
2024-05-13 15:58:30, -0ns, 525ns, -0.000000232, 0.000448799, 0.000000001, 0.000005327, -814ns[-1037ns], +/-, 
2024-05-13 15:58:30, -1ns, 525ns, -0.000000232, 0.000448799, 0.000000001, 0.000006714, -814ns[-1037ns], +/-, 
2024-05-13 15:58:30, -2ns, 525ns, -0.000000232, 0.000448799, 0.000000001, 0.000008095, -814ns[-1037ns], +/-, 
2024-05-13 15:58:30, -3ns, 525ns, -0.000000232, 0.000448799, 0.000000001, 0.000009467, -814ns[-1037ns], +/-, 
2024-05-13 15:58:30, -3ns, 525ns, -0.000000232, 0.000448799, 0.000000001, 0.000010856, -814ns[-1037ns], +/-, 
2024-05-13 15:58:30, -4ns, 525ns, -0.000000232, 0.000448799, 0.000000001, 0.000012238, -814ns[-1037ns], +/-, 
2024-05-13 15:58:30, -10ns, 295ns, -0.000001267, 0.000425769, 0.000000001, 0.000005482, -217ns[-1474ns], +/-, 
2024-05-13 15:58:30, -64ns, 295ns, -0.000001267, 0.000425769, 0.000000001, 0.000006943, -217ns[-1474ns], +/-, 
2024-05-13 15:58:30, -117ns, 295ns, -0.000001267, 0.000425769, 0.000000001, 0.000008342, -217ns[-1474ns], +/-, 
2024-05-13 15:58:30, -169ns, 295ns, -0.000001267, 0.000425769, 0.000000001, 0.000009742, -217ns[-1474ns], +/-, 
2024-05-13 15:58:30, -220ns, 295ns, -0.000001267, 0.000425769, 0.000000001, 0.000011123, -217ns[-1474ns], +/-, 
2024-05-13 15:58:30, -276ns, 295ns, -0.000001267, 0.000425769, 0.000000001, 0.000012638, -217ns[-1474ns], +/-, 
2024-05-13 15:58:30, -10ns, 355ns, +0.000000057, 0.000403920, 0.000000001, 0.000005493, +459ns[, +547ns], 435ns
2024-05-13 15:58:30, -43ns, 355ns, +0.000000057, 0.000403920, 0.000000001, 0.000006976, +459ns[, +547ns], 435ns
2024-05-13 15:58:30, -76ns, 355ns, +0.000000057, 0.000403920, 0.000000001, 0.000008428, +459ns[, +547ns], 435ns
2024-05-13 15:58:30, -109ns, 355ns, +0.000000057, 0.000403920, 0.000000001, 0.000009893, +459ns[, +547ns], 435ns
2024-05-13 15:58:30, -143ns, 355ns, +0.000000057, 0.000403920, 0.000000001, 0.000011370, +459ns[, +547ns], 435ns
2024-05-13 15:58:30, -176ns, 355ns, +0.000000057, 0.000403920, 0.000000001, 0.000012839, +459ns[, +547ns], 435ns
2024-05-13 15:58:30, +0ns, 387ns, +0.000000548, 0.000383192, 0.000000001, 0.000006136, +328ns[, +874ns], 426ns
2024-05-13 15:58:30, +0ns, 387ns, +0.000000548, 0.000383192, 0.000000001, 0.000007591, +328ns[, +874ns], 426ns
2024-05-13 15:58:30, +1ns, 387ns, +0.000000548, 0.000383192, 0.000000001, 0.000009050, +328ns[, +874ns], 426ns
2024-05-13 15:58:30, +1ns, 387ns, +0.000000548, 0.000383192, 0.000000001, 0.000010512, +328ns[, +874ns], 426ns
2024-05-13 15:58:30, +1ns, 387ns, +0.000000548, 0.000383192, 0.000000001, 0.000011976, +328ns[, +874ns], 426ns
2024-05-13 15:58:30, +2ns, 387ns, +0.000000548, 0.000383192, 0.000000001, 0.000013481, +328ns[, +874ns], 426ns
2024-05-13 15:58:30, -0ns, 354ns, -0.000000136, 0.000363528, 0.000000001, 0.000005481, -131ns[, -258ns], 417ns
